topic,body
trade,hous trade lawmak took first vote measur design toughen u trade law held tomorrow difficult vote controversi plan protect american industri meet close session hous way mean trade subcommitte fail resolv one sensit issu bill whether forc major foreign trade partner sever cut trade surplus unit state subcommitte consid tone version democrat sponsor trade legisl aim open foreign market drop last year effort forc presid reagan retali quota tariff congression aid ask identifi said lawmak intend wrap propos tomorrow consid propos mandat retali without set specif trade penalti legisl face anoth hurdl full way mean committe next week befor full hous vote rep richard gephardt missouri democrat seek parti presidenti nomin said may offer amend call reduct trade surplus countri barrier import u good would moder version earlier plan forc mandatori ten per cent annual cut trade surplus unit state japan south korea taiwan west germani countri largest trade imbal criteria good amend set standard get trade deficit told report trade law chang becom part major congression administr effort turn around record u trade deficit billion dlrs last year open foreign market make u product competit hous speaker jame wright texa democrat said today expect full hous approv trade bill may reagan accept final congression bill expect whatev report way mean committe pass good bill effect bill told report comprehens trade bill includ work committe eas export control high technolog aid u worker displac foreign competit stimul research develop remov foreign trade barrier improv educ worker train lawmak agre first time u industri could charg foreign produc unfair competit deni basic worker right collect bargain safeti rule payment minimum wage appropri countri econom develop transfer u trade repres clayton yeutter power held reagan decid whether retali foreign violat fair trade rule whether injur industri deserv import relief agre make easier compani get temporari relief import competit agre industri provid plan becom competit administr announc support yeutter said yesterday cautious optimist democrat led hous come accept bill reuter
trade,soviet first deputi prime minist vsevolod murakhovski said end brief visit countri want boost joint busi franc reduct franc trade deficit soviet union depend french murakhovski also chairman state agro industri committe gosagroprom told news confer discuss varieti possibl deal french compani rhone poulenc pechiney imec declin put figur possibl contract said discuss plant protect process high sulphur gas rhone poulenc packag technolog agricultur product pechiney fruit veget juic process imec offici pechiney said agreement intent packag could sign soon could give ani detail two compani immedi avail comment ask whether foresaw reduct year franc trade shortfal billion franc first month billion whole murakhovski told reuter depend franc meet pari last januari french soviet foreign trade minist said commit increas effort reduc deficit estim time show french mln franc surplus decemb murakhovski said soviet union prepar talk anybodi interest propos offer latest technolog assur mutual advantag said soviet union mani task ahead would deal rapid propos consid interest encourag compani take advantag new law guarante interest foreign partner joint ventur said agreement yet finalis new joint ventur law said concret deal yet finalis result one billion dollar accord sign moscow last month french businessman jean baptist doumeng said doumeng interagra compani prepar propos examin soviet union doumeng last month said agreement exchang one billion dollar worth good murakhovski said agreement one intent design primarili renew increas soviet union food product capac reuter
crude,venezuela suppli ecuador yet undetermin amount crude oil help meet export commit serious affect last week earthquak energi mine minist arturo hernandez grisanti said gave detail deal said crude oil loan agreement made state oil compani petroleo de venezuela pdvsa ecuador cepe ecuador forc suspend oil export expect four month earthquak damag pipelin oil account per cent export incom hernandez speak report miraflor palac result talk ecuador deputi energi minist fernando santo alvit arriv last night volum lent ecuador would discount opec quota would affect venezuela said would august produc quota sell addit amount ecuador would repay us said elabor quota arrang say ecuador would notifi opec telex venezuela would lend certain amount mani day venezuela opec output quota current million barrel day ecuador set bpd reuter
trade,britain today call japan increas foreign import risk rise protection harm would bring trade nation british trade industri secretari paul channon said japan must heed report issu japanes govern advisori bodi decemb call faster domest demand help cut trade surplus restructur economi recognis strong yen brought problem japan domest economi told group japanes businessmen london short term difficulti allow deflect japan fundament reform necessari said domest issu japan import propens doe expand veri soon real risk protectionist lobbi particular u japan massiv surplus said may well succeed secur action govern would high injuri trade nation like japan u k channon said substanti growth volum trade japan britain amount billion sterl billion dlrs last year ad regrett much one direct japanes sell us billion sterl billion dlrs sold reuter
oil,british minist said propos european communiti tax veget oil fat would rais price fish chip pledg govern would fight lord belstead junior agricultur minist told hous lord tax would rais price raw materi use mani process food pct said revenu rais tax consum call propos repugn reuter
veg,british minist said propos european communiti tax veget oil fat would rais price fish chip pledg govern would fight lord belstead junior agricultur minist told hous lord tax would rais price raw materi use mani process food pct said revenu rais tax consum call propos repugn reuter
money,u treasuri secretari jame baker declin comment februari pari accord six major industri nation agre foster exchang rate stabil ask report speech befor nation fit foundat banquet ani currenc intervent level set pari baker repli never talk intervent baker also declin comment view foreign exchang market reaction accord reuter
fx,u treasuri secretari jame baker declin comment februari pari accord six major industri nation agre foster exchang rate stabil ask report speech befor nation fit foundat banquet ani currenc intervent level set pari baker repli never talk intervent baker also declin comment view foreign exchang market reaction accord reuter
crude,ecuador ask opec rais oil export quota barrel per day compens lost output due last week earthquak deputi energi minist fernando santo alvit said santo alvit arriv caraca last night discuss aid plan ecuador say organis petroleum export countri opec would approach addit output would relat plan discuss venezuela mexico lend ecuador crude repair pipelin damag quak earlier venezuelan energi mine minist aturo hernandez grisanti said countri would suppli unspecifi part ecuador export commit santo alvit told report hope first cargo barrel could leav maracaibo weekend suppli refineri near guayaquil ad ecuador also want make bpd ship caribbean destin mexico might suppli ecuador south korean market ecuador may unabl export oil five month due extens damag mile stretch pipelin link jungl oilfield pacif port balao reuter
crude,china close second round bid foreign firm offshor oil explor right china daili report quot spokesman china nation offshor oil corp cnooc say china sign eight contract foreign firm block pearl river mouth south yellow sea cover total area sq km second round bid began end onli one well far produc result lufeng km south east shenzhen output barrel day well drill group japanes compani spokesman ad cnooc readi enter contract offshor block befor third round bid began say would ad contract would bound restrict impos dure second round china sign oil contract agreement compani countri sinc offshor explor open foreign eleven contract termin oil discov foreign firm invest billion dlrs offshor china sinc reuter
bop,net inflow foreign invest australia jump billion dlrs fourth quarter billion third quarter billion year earlier statist bureau said bureau attribut increas turnaround billion dlrs offici sector transact billion turnaround direct invest turnaround offici transact billion inflow mln outflow third quarter mln inflow year earlier larg account govern foreign currenc borrow said direct invest record turnaround billion dlr inflow fourth quarter mln withdraw third quarter mln inflow fourth quarter bureau said said major part turnaround reflect inject fund estim around mln dlrs associ previous report restructur australian oper general motor corp gm gm use fund pay take certain australian liabil local unit general motor holden ltd said howev net borrow remain major part total inflow account billion dlrs fourth quarter billion third quarter billion year earlier bureau said net offici borrow compris billion dlrs net outflow mln third quarter mln inflow year earlier total privat semi public author net borrow rose billion dlrs billion third quarter billion year earlier reuter
